# id	name	palette	inner	outer	accent	idea	chosen
S1	neutral, darker wall	#1a2e1e,#1f3d24,#254c28,#2c5c2b,#356b2c,#447c2d,#598d2e,#709e2e,#88af2a,#bbc84f,#ebe377	1e1e1e	141414	6a8b63	Studio: The reference: neutral L 0.235 ground, wall a step darker. No induced tint; the ring glows outward.	0
S2	neutral, lighter wall	#1a2e1e,#1f3d24,#254c28,#2c5c2b,#356b2c,#447c2d,#598d2e,#709e2e,#88af2a,#bbc84f,#ebe377	1e1e1e	282828	6a8b63	Studio: Same ground, wall a step lighter (Apple's underPage gray): the picture as a recessed stage.	0
S3	warm, darker wall	#1a2e1e,#1f3d24,#254c28,#2c5c2b,#356b2c,#447c2d,#598d2e,#709e2e,#88af2a,#bbc84f,#ebe377	221d18	1a1614	6a8b63	Studio: Warm ground (raw-canvas direction). Simultaneous contrast tints the green cooler; Purkinje makes the warm field read darker than its Y in a dim room.	1
S4	lighter neutral, darker wall	#263b2a,#2a492e,#2f5631,#346433,#3b7233,#498133,#5e9234,#73a232,#8bb22e,#bdca51,#ebe377	2c2c2e	1c1c1e	6a8b63	Studio: The ground a step lighter (L 0.29): unmistakably gray, at the cost of a narrower value range for the trails.	0
B1	orange field, literal	#33221a,#482c21,#5e3729,#794636,#955545,#b16b56,#cd8369,#dba383,#e9c2a4,#eed8c0,#f6ede0	2d1e14	cf5604	fa6e1d	Bacon: the snail's trail: Raw-canvas ground inside, the flat cadmium field outside, an orange ring. The most likely to look like a painting and the most likely to fail the harsh-ground test: the wall is Y 20 %.	0
B2	orange field, dimmed	#33221a,#482c21,#5e3729,#794636,#955545,#b16b56,#cd8369,#dba383,#e9c2a4,#eed8c0,#f6ede0	2d1e14	803100	d16022	Bacon: the snail's trail: The same structure with the field dimmed to L 0.42 for a dark room; the orange stays orange (a weak Helmholtz-Kohlrausch hue, its brightness is its luminance).	1
B3	magenta field	#33221a,#482c21,#5e3729,#794636,#955545,#b16b56,#cd8369,#dba383,#e9c2a4,#eed8c0,#f6ede0	2d1e14	901674	ddcabb	Bacon: the snail's trail: Bacon's other field, magenta, at L 0.45: a strong H-K hue, so it reads brighter than its Y. The ring is a thin pale flesh-white line, the space-frame.	0
B4	gray ground, violet ring	#2f231e,#412c23,#543429,#714133,#8f4f3f,#aa6551,#c67c63,#d79b7a,#e7ba97,#ebd3b8,#f2eadd	1e1e1e	141414	6928b0	Bacon: the snail's trail: Bacon on the owner's gray: the saturated field shrinks to the ring. Violet at Y 8 % reads as a light source (H-K) without lifting the room; over a neutral field its 75/50 % blends stay violet.	0
M1	water and shadow	#24262e,#2a304a,#313867,#2e5080,#1f6a96,#1b858d,#57997d,#bc9a66,#dfa3bf,#f2c1b2,#f1e3c7	1e2028	14161c	ddaec3	Monet: the envelope: Violet-blue shadow through cobalt and viridian to a madder pink and a lead-white core; the hue path goes the long way round through green. Ring: pale rose.	1
M2	Rouen, end of day	#26252d,#383348,#4d4063,#755068,#956666,#b07f71,#c8997b,#deb183,#f0cb8d,#f4dfb4,#faf1dc	201f27	16151a	d2b373	Monet: the envelope: The Marmottan's description of the cathedral: pink, beige and yellow with mauves and blues in the shadows. Max chroma 0.09: the near-value hue contrast test.	0
M3	haze: hue alone	#2e284a,#2d345d,#24426e,#005276,#00606b,#006d5f,#30754e,#58793b,#7b7a2b,#9a782e,#b27744	1e2028	14161c	756d86	Monet: the envelope: Lightness held to 0.30-0.62 while hue sweeps violet to blue to green to warm: the extreme of Monet's mechanism. If it reads as mud at a distance, Albers' vanishing boundaries has won and the value steps need widening.	0
